ImoNumber,VesselName,CallSign,VesselClass,NominalTeuCapacity,ReeferPlugCount,FlagCountryCode,FlagCountryName,YearBuilt,DeadweightTonnes,LoaMetres,BeamMetres,MaxDraughtMetres,ServiceSpeedKnots,FuelType,HasScrubber,EexiRating,IsOwnedTonnage,OperatorCarrierCode,VesselKey
7489724,Bright Harbour,6RUZGI,Feedermax,3639,367,LR,Liberia,2018,43546,187.2,29.6,10.24,20.3,VLSFO,0,C,0,RDXA,50
9579975,Radiant Wave,KN3L3V,Feedermax,3566,436,CY,Cyprus,2020,37973,186.5,29.5,10.96,20.3,LNG Dual-Fuel,0,A,0,ONEY,51
7297456,Steady Harbour,ROQC8D,Feedermax,3511,442,HK,Hong Kong,2006,41831,179.6,29.1,10.51,19.9,VLSFO,1,E,0,OOLU,52
5718066,Sapphire Navigator,YVVI4V,Feedermax,4104,313,SG,Singapore,2021,53514,168.8,27.3,10.87,20.9,VLSFO,1,B,0,EWZM,53
6996031,Morning Zenith,A6ZYYR,Feedermax,3719,273,HK,Hong Kong,2003,40875,178.7,29.0,10.72,20.1,VLSFO,1,C,0,QZRM,54
6196784,Rising Mariner,95QZ7I,Feedermax,3706,372,BS,Bahamas,2023,40644,170.8,27.4,10.94,20.3,VLSFO,0,A,0,PILU,55
7384508,Radiant Horizon,UNVQ08,Feedermax,4329,476,MH,Marshall Islands,2005,57723,192.8,27.3,10.38,20.6,LNG Dual-Fuel,0,D,0,CMDU,56
2131463,Atlantic Dawn,4CTPZJ,Feedermax,4093,406,BS,Bahamas,2003,51536,183.0,29.5,10.46,20.3,VLSFO,0,C,0,MGLU,57
8447450,Morning Frontier,5O0G3B,Feedermax,4345,481,PA,Panama,2018,53329,201.3,29.2,10.36,20.6,MGO,0,B,0,DEFB,58
2925890,Silver Crossing,IPMDGV,Feedermax,3087,358,HK,Hong Kong,2015,33169,195.5,28.1,10.32,19.3,VLSFO,1,C,0,HDMU,59
7732511,Atlantic Wave,A2EBQG,Feedermax,3531,295,HK,Hong Kong,2012,45768,193.7,29.6,10.3,20.0,VLSFO,0,B,0,KXMM,60
6937126,Steady Pioneer,YTRHUG,Feedermax,3884,249,BS,Bahamas,2013,45050,176.4,27.5,10.86,20.3,VLSFO,1,D,1,MGLU,61
2322749,Evening Bridge,KP3JM0,Feedermax,3263,385,BS,Bahamas,2016,35934,166.5,29.8,10.15,19.7,VLSFO,0,C,0,VJBD,62
9058971,Western Navigator,JZMXN3,Feedermax,3082,429,PA,Panama,2017,35374,170.4,28.5,10.42,19.3,VLSFO,1,D,0,MGLU,63
1474612,Pacific Crossing,1VF57A,Feedermax,3682,431,PA,Panama,2004,40311,179.0,27.1,10.21,19.9,VLSFO,1,C,0,GCUQ,64
4736803,Bright Trader,BVXAUQ,Feedermax,3884,574,CY,Cyprus,2013,44556,188.5,29.5,10.0,19.7,LNG Dual-Fuel,0,D,0,VJBD,65
8730754,Bold Explorer,AR7ALK,Feedermax,4364,594,MH,Marshall Islands,1999,46096,206.9,29.2,10.92,19.7,VLSFO,1,E,0,CMDU,66
8038261,Grand Discovery,JAPK5V,Feedermax,3164,355,MT,Malta,2019,35943,184.1,28.7,10.95,19.3,VLSFO,0,C,0,GCUQ,67
7265623,Golden Crossing,6WQNC3,Feedermax,3762,214,LR,Liberia,2023,46356,164.0,28.1,10.4,19.1,Methanol Dual-Fuel,0,C,0,SSZX,68
8106434,Golden Harbour,JEA0UE,Feedermax,3051,251,SG,Singapore,2009,33203,193.2,28.0,10.44,19.5,VLSFO,1,B,0,EWZM,69
1595868,Southern Summit,NYERLB,Feedermax,3974,405,SG,Singapore,2007,40140,169.0,27.2,10.26,19.7,VLSFO,0,D,0,KYLU,70
8030647,Grand Legacy,15NAY4,Feedermax,3874,554,MH,Marshall Islands,2002,41416,200.8,29.4,10.21,20.1,VLSFO,1,D,0,ITIH,71
9751121,Eastern Horizon,XJECID,Feedermax,3128,281,LR,Liberia,2015,40329,172.5,28.3,10.3,19.9,MGO,0,B,1,MGLU,72
8688212,Evening Passage,BDD4SV,Feedermax,3244,228,LR,Liberia,2023,32588,200.7,28.4,10.22,19.4,LNG Dual-Fuel,0,C,0,OTUB,73
1127659,Atlantic Passage,0LW4K7,Feedermax,3435,236,SG,Singapore,2006,35823,193.0,29.2,10.08,19.4,LNG Dual-Fuel,0,C,0,YMLU,74
3103176,Golden Passage,09IWST,Feedermax,4327,463,CY,Cyprus,2025,60291,196.6,27.4,10.69,20.3,VLSFO,0,B,0,LGMA,75
5366825,Bright Navigator,EJMIXF,Feedermax,4472,329,LR,Liberia,2016,60163,189.9,27.4,10.12,19.5,VLSFO,0,D,0,QIFV,76
9008263,Amber Star,8E0Q7U,Feedermax,4368,349,PA,Panama,2014,46760,171.2,28.3,10.61,19.9,LNG Dual-Fuel,0,D,0,HLCU,77
1995551,Sapphire Compass,742ATT,Feedermax,3240,284,PA,Panama,2010,43933,185.2,27.4,10.01,19.9,LNG Dual-Fuel,0,D,0,HMSS,78
3587657,Sapphire Spirit,XX00ZY,Feedermax,3019,253,SG,Singapore,2018,32272,196.6,28.3,10.38,20.3,VLSFO,0,B,0,RADR,79
5094159,Silver Wave,OCBU3Q,Feedermax,3106,363,HK,Hong Kong,2006,43391,206.0,29.8,10.93,20.4,VLSFO,0,D,1,MGLU,80
1639846,Evening Compass,OP5LDW,Handysize,5812,637,BS,Bahamas,1999,74818,222.2,32.0,11.6,20.5,VLSFO,0,D,1,MGLU,81
5319781,Majestic Current,EA5LE2,Handysize,4946,434,PA,Panama,2018,58578,212.5,31.3,11.45,21.2,VLSFO,0,C,0,AAUW,82
3833458,Northern Discovery,95UX30,Handysize,4658,351,SG,Singapore,2018,55619,210.7,30.8,11.05,20.2,MGO,0,B,0,PILU,83
1275535,Golden Endeavour,DMJOEB,Handysize,4666,456,BS,Bahamas,1998,51691,214.1,30.9,11.2,21.5,Methanol Dual-Fuel,0,D,0,PILU,84
6079807,Sapphire Star,FIFE5I,Handysize,5449,588,MH,Marshall Islands,2015,71372,221.2,30.6,11.04,20.0,MGO,0,B,0,RADR,85
6755322,Steady Navigator,14S51D,Handysize,4932,599,CY,Cyprus,2012,55545,214.1,30.5,11.92,21.6,VLSFO,0,C,0,DEFB,86
4897841,Rising Spirit,HAZQFU,Handysize,5116,699,LR,Liberia,2016,63817,220.5,31.4,11.56,21.0,VLSFO,0,B,0,MGLU,87
2051493,Morning Explorer,9UAUB5,Handysize,5066,398,BS,Bahamas,2017,67369,220.1,31.8,11.25,20.8,VLSFO,0,D,0,EWZM,88
1230339,Steady Odyssey,27SV4Q,Handysize,4528,309,MT,Malta,2000,47212,211.4,30.3,11.22,21.4,VLSFO,0,E,0,QIFV,89
4438712,Morning Trader,B7XO7I,Handysize,5764,310,LR,Liberia,2015,65979,230.0,31.9,11.28,21.0,VLSFO,0,D,0,CMDU,90
3500776,Radiant Frontier,6NU5QM,Handysize,5839,314,LR,Liberia,2003,81519,221.0,31.1,11.76,21.1,VLSFO,0,C,0,JJRK,91
8032334,Grand Star,ORFEA6,Handysize,4953,491,CY,Cyprus,2002,54615,221.0,30.4,11.83,20.9,LNG Dual-Fuel,0,D,0,YMLU,92
9389928,Royal Endeavour,FZRVUO,Handysize,4763,397,MH,Marshall Islands,2012,54115,220.6,30.2,11.27,21.0,VLSFO,1,B,0,AXJE,93
9133496,Northern Wave,4DDCXG,Handysize,5146,755,SG,Singapore,2012,55219,211.5,31.9,11.41,20.0,VLSFO,0,D,0,MGLU,94
6679968,Noble Navigator,F5MQPB,Handysize,5566,312,LR,Liberia,2005,76467,212.2,30.5,11.89,20.4,VLSFO,1,D,1,MGLU,95
2340038,Endless Current,30HQM1,Handysize,4941,597,PA,Panama,1999,64597,221.9,30.9,11.64,20.7,VLSFO,0,C,0,BVUE,96
1863502,Endless Frontier,MC0BVB,Handysize,4681,237,CY,Cyprus,2018,49105,214.1,30.8,11.99,21.0,VLSFO,0,A,0,RDXA,97
8934647,Crystal Bridge,CF8Q28,Handysize,5281,563,LR,Liberia,2003,73917,210.8,30.5,11.76,21.5,VLSFO,1,D,0,NSBB,98
1912585,Sapphire Mariner,8417RL,Handysize,4784,262,MT,Malta,2014,47865,213.0,31.9,11.83,21.8,VLSFO,0,B,1,MGLU,99
2459982,Emerald Odyssey,O6USG9,Handysize,5556,379,PA,Panama,2002,71222,225.1,31.2,11.17,20.1,VLSFO,1,C,0,PILU,100
2682096,Steady Passage,KAY8LG,Handysize,5900,664,MH,Marshall Islands,2024,73297,218.2,31.1,11.62,20.5,VLSFO,0,A,1,MGLU,101
3400196,Northern Voyager,Q15NHM,Handysize,4610,603,CY,Cyprus,2011,63352,211.2,31.9,11.29,20.2,VLSFO,0,D,0,TODF,102
6275401,Evening Trader,1ORDO0,Handysize,5703,637,HK,Hong Kong,2009,60461,223.8,31.5,11.51,21.8,LNG Dual-Fuel,0,C,0,ZIMU,103
2795738,Evening Dawn,MYYBLI,Handysize,4721,389,LR,Liberia,2018,54816,223.2,31.1,11.32,21.8,LNG Dual-Fuel,0,B,0,TZGS,104
9269312,Royal Crossing,QM53SX,Handysize,5016,718,HK,Hong Kong,2018,52665,210.4,31.2,11.68,21.1,VLSFO,0,C,0,EGLV,105
1347584,Bold Passage,JJTFPV,Handysize,5312,511,MT,Malta,2004,63933,225.2,31.2,11.19,21.4,LNG Dual-Fuel,0,D,0,ZIMU,106
2958639,Noble Pioneer,R3WL7F,Handysize,4939,307,HK,Hong Kong,2009,49935,212.5,31.2,11.97,20.6,VLSFO,0,B,0,ZIMU,107
1536458,Morning Legacy,69ED20,Handysize,5209,455,BS,Bahamas,2019,53234,218.8,31.4,11.26,20.1,VLSFO,0,C,1,MGLU,108
2425462,Radiant Mariner,KUMB1M,Handysize,5494,689,HK,Hong Kong,1998,59968,227.2,31.9,11.07,20.9,MGO,0,D,1,MGLU,109
5274747,Amber Trader,CLB8Z8,Handysize,350,303,HK,Hong Kong,2012,61488,226.5,31.6,11.21,21.4,MGO,0,C,1,MGLU,110
1384922,Eastern Mariner,2JKUM4,Handysize,4868,715,MT,Malta,2012,49412,212.2,30.4,11.13,21.2,Methanol Dual-Fuel,0,B,0,COSU,111
4137318,Southern Current,OTHVYV,Handysize,5407,574,HK,Hong Kong,2016,69974,225.7,31.0,11.13,20.3,LNG Dual-Fuel,0,C,0,HLCU,112
4809832,Southern Dawn,FIYURC,Handysize,5382,356,BS,Bahamas,2012,55587,215.7,30.1,11.2,21.0,MGO,0,B,0,DKGB,113
8107141,Crystal Dawn,JDAWPJ,Handysize,5514,696,LR,Liberia,2020,63039,213.1,30.5,11.79,20.5,VLSFO,1,A,0,QGEB,114
1799218,Emerald Voyager,2H3EGP,Handysize,5723,752,PA,Panama,2017,77585,215.7,31.7,11.55,20.3,Methanol Dual-Fuel,0,B,0,MSCU,115
7489073,Bold Trader,IB3FVL,Panamax,6874,828,PA,Panama,1998,90972,249.1,32.5,12.35,22.8,VLSFO,0,C,0,TZGS,116
5652705,Grand Trader,CTEWBB,Panamax,6914,592,PA,Panama,1999,72537,247.3,32.1,12.03,22.5,VLSFO,0,E,0,MSCU,117
6589084,Bright Frontier,WD5K0O,Panamax,6127,386,CY,Cyprus,2016,67851,246.2,32.7,12.11,22.5,LNG Dual-Fuel,0,B,0,MGLU,118
1609449,Sapphire Crossing,UX6NHZ,Panamax,6585,416,CY,Cyprus,2025,91511,237.1,33.6,12.59,22.8,LNG Dual-Fuel,0,C,1,MGLU,119
3865669,Rising Current,ENNN26,Panamax,7012,577,LR,Liberia,2004,72843,255.4,33.3,12.78,22.3,VLSFO,0,C,0,QZRM,120
5709704,Crystal Zenith,FSG19M,Panamax,8166,678,HK,Hong Kong,2011,98955,257.5,32.9,12.7,22.3,VLSFO,0,C,0,NRNS,121
3720546,Silver Frontier,2H87NH,Panamax,8035,412,LR,Liberia,2000,82599,284.9,32.7,12.83,22.0,VLSFO,1,D,1,MGLU,122
8639649,Bold Spirit,514FVQ,Panamax,6702,516,PA,Panama,2006,85177,256.3,35.2,12.64,22.0,MGO,0,E,0,KXMM,123
9105580,Grand Pioneer,VHH8YV,Panamax,6549,472,PA,Panama,2004,88918,230.9,33.7,12.71,22.2,VLSFO,0,E,0,KYLU,124
2267810,Western Passage,03T8N1,Panamax,6226,782,MT,Malta,1999,74960,264.0,33.9,12.11,22.9,Methanol Dual-Fuel,0,E,0,MGLU,125
5966211,Pacific Mariner,NJQ42F,Panamax,6260,812,HK,Hong Kong,2023,66809,255.9,32.8,12.05,22.0,VLSFO,0,C,0,QZRM,126
3861326,Sapphire Zenith,DYXTW8,Panamax,8326,1079,CY,Cyprus,2020,115439,268.9,35.5,12.72,22.2,VLSFO,0,C,0,MGLU,127
6189547,Noble Current,FYYEIZ,Panamax,6548,744,HK,Hong Kong,2003,81395,244.7,32.9,12.35,23.0,VLSFO,0,C,0,XWYU,128
4393845,Pacific Voyager,N6M9C3,Panamax,7340,963,MH,Marshall Islands,2005,83850,266.5,33.1,12.27,22.9,LNG Dual-Fuel,0,C,1,MGLU,129
3442443,Radiant Navigator,A9JB6G,Panamax,7089,844,PA,Panama,2000,86845,230.7,33.4,12.64,22.9,VLSFO,0,E,0,MAEU,130
6778233,Emerald Pioneer,R80BGT,Panamax,7078,854,CY,Cyprus,2010,82386,281.1,33.7,12.89,22.9,VLSFO,0,D,1,MGLU,131
9636096,Royal Bridge,6XWKFW,Panamax,7476,1055,PA,Panama,2015,104139,281.4,32.6,12.38,22.3,VLSFO,0,C,0,RADR,132
5672286,Evening Discovery,28CF2J,Panamax,6826,994,LR,Liberia,2007,77105,255.5,34.3,12.27,22.4,Methanol Dual-Fuel,0,C,1,MGLU,133
1221106,Noble Mariner,838LIM,Panamax,7309,923,MT,Malta,2020,97149,266.4,34.4,12.0,22.3,VLSFO,0,B,0,HDMU,134
4684593,Golden Dawn,9HW6VY,Panamax,6717,821,PA,Panama,1999,81690,276.1,35.6,12.92,22.9,LNG Dual-Fuel,0,C,0,DKGB,135
4515388,Southern Zenith,X6YLEX,Panamax,6485,593,SG,Singapore,2001,69475,257.1,34.6,12.89,22.6,VLSFO,0,D,1,MGLU,136
6174607,Atlantic Horizon,AY14E3,Panamax,7573,489,HK,Hong Kong,2012,84911,234.9,34.8,12.1,22.2,VLSFO,0,B,0,YQHP,137
8111996,Emerald Horizon,YJPKMF,Panamax,7777,400,MT,Malta,1998,106487,283.3,32.4,12.31,22.2,VLSFO,0,D,0,NNJE,138
6175065,Endless Odyssey,G033GS,Panamax,7007,793,MH,Marshall Islands,2012,85086,275.7,34.9,12.56,22.8,VLSFO,1,C,0,ITIH,139
7433579,Sapphire Current,SZ54HV,Panamax,7107,444,BS,Bahamas,2000,83767,287.4,32.4,12.08,23.0,VLSFO,0,C,0,AAUW,140
9743318,Grand Harbour,SXQ1O9,Panamax,7015,658,BS,Bahamas,2016,97074,283.2,35.3,12.61,22.9,LNG Dual-Fuel,0,B,0,RADR,141
6235683,Bright Summit,NZ657K,Panamax,6489,541,LR,Liberia,1999,76450,244.3,32.3,12.87,22.2,LNG Dual-Fuel,0,D,1,MGLU,142
7176327,Bright Horizon,3WPQX0,Panamax,8348,810,LR,Liberia,2001,96529,273.7,35.0,12.19,22.2,LNG Dual-Fuel,0,E,0,KYLU,143
8777996,Pacific Spirit,RQVGMY,Panamax,6311,343,SG,Singapore,2004,68277,249.1,34.2,12.71,22.1,MGO,0,C,0,DEFB,144
7014696,Western Legacy,I17ZYO,Panamax,8189,880,MT,Malta,2015,97332,244.4,33.3,12.65,22.1,VLSFO,0,B,0,COSU,145
9889605,Pacific Bridge,OCHTNC,Panamax,7809,535,PA,Panama,1999,104601,243.5,35.7,12.48,22.9,VLSFO,0,E,0,HLCU,146
1320964,Grand Voyager,ECYYVW,Panamax,7902,676,MH,Marshall Islands,2022,103997,261.2,32.7,12.74,22.1,LNG Dual-Fuel,0,A,0,DKGB,147
3186178,Bright Bridge,GJ8QIT,Panamax,8172,653,MT,Malta,2020,111690,231.0,32.9,12.24,22.7,VLSFO,0,A,0,QIFV,148
4963066,Golden Summit,E01AJO,Panamax,6053,799,CY,Cyprus,2024,72608,265.1,32.2,12.05,22.7,VLSFO,0,B,0,OTUB,149
1833959,Northern Crossing,YPPJIZ,Panamax,6845,825,HK,Hong Kong,2009,81863,246.9,32.8,12.28,22.7,VLSFO,1,C,0,KXMM,150
3450933,Bright Mariner,311ZNS,Post-Panamax,11072,1151,PA,Panama,2019,112494,308.9,41.0,13.84,23.5,VLSFO,0,C,0,NRNS,151
7821805,Bright Crossing,YW0UGY,Post-Panamax,9873,1054,PA,Panama,2010,133377,318.0,40.6,13.59,23.7,VLSFO,1,B,1,MGLU,152
3826601,Endless Trader,QY4805,Post-Panamax,9735,492,MH,Marshall Islands,2023,114127,299.4,40.3,13.3,23.7,VLSFO,0,A,0,XWYU,153
8056562,Eastern Bridge,J0JOFD,Post-Panamax,11261,620,CY,Cyprus,2025,131288,311.4,43.6,13.87,23.4,VLSFO,0,B,0,EGLV,154
3668695,Bold Zenith,S5UVN1,Post-Panamax,10945,630,HK,Hong Kong,2000,121043,316.5,41.4,13.73,23.5,VLSFO,1,C,1,MGLU,155
1034096,Morning Voyager,10LW8N,Post-Panamax,11806,1232,HK,Hong Kong,2013,137087,301.9,42.7,13.6,23.3,Methanol Dual-Fuel,0,B,0,HWFT,156
1988273,Steady Zenith,11RE4N,Post-Panamax,9181,1015,BS,Bahamas,2008,99865,297.5,41.0,13.63,23.0,VLSFO,1,B,0,CMDU,157
1163823,Rising Voyager,N10OJ3,Post-Panamax,10293,1117,MT,Malta,2006,125013,303.1,40.5,13.41,23.5,VLSFO,0,E,0,RCAH,158
8476918,Emerald Summit,3XTENM,Post-Panamax,10384,1501,PA,Panama,2005,120821,303.5,41.4,13.32,23.8,VLSFO,0,C,0,QZRM,159
6394257,Atlantic Trader,ILYWUS,Post-Panamax,8841,856,BS,Bahamas,2009,100504,318.2,43.3,13.98,23.3,VLSFO,1,C,1,MGLU,160
7891898,Emerald Spirit,JK4H28,Post-Panamax,11912,1451,BS,Bahamas,2006,165286,295.9,41.5,13.57,23.5,VLSFO,0,C,1,MGLU,161
7505798,Steady Current,ZPSE6B,Post-Panamax,8808,1227,PA,Panama,2017,108667,297.9,44.4,13.25,23.9,VLSFO,1,C,0,SSZX,162
2998249,Royal Compass,PO69LJ,Post-Panamax,11824,999,CY,Cyprus,2018,158507,316.8,41.7,13.51,23.5,VLSFO,0,B,0,QGEB,163
8696790,Crystal Harbour,IQL9G2,Post-Panamax,10251,663,HK,Hong Kong,2004,128086,290.1,42.6,13.78,23.2,VLSFO,0,E,0,NSBB,164
9541899,Silver Pioneer,4AQ4KP,Post-Panamax,9200,983,MH,Marshall Islands,2001,96793,307.0,42.5,13.5,23.9,VLSFO,0,C,1,MGLU,165
5296393,Southern Mariner,2Q0EOI,Post-Panamax,10086,1345,MH,Marshall Islands,2012,123581,317.4,42.7,13.04,23.9,VLSFO,0,D,0,HWFT,166
1443182,Grand Passage,2U0ZW2,Post-Panamax,9090,609,PA,Panama,2025,126123,291.6,42.3,13.92,23.5,VLSFO,0,A,1,MGLU,167
8342040,Pacific Trader,Z6N218,Post-Panamax,9894,868,MH,Marshall Islands,2017,113202,304.0,40.6,13.48,23.7,VLSFO,0,D,0,XWYU,168
8767032,Morning Harbour,7M94OG,Post-Panamax,8605,736,CY,Cyprus,2012,108051,298.6,44.5,13.65,23.7,VLSFO,1,D,0,GCUQ,169
