HsCode6,HsCode4,HsCode2,HsChapterName,HsHeadingName,CommodityName,CommodityGroup,IsDangerousGoods,ImdgClass,UnNumber,IsTemperatureControlled,RequiredTempC,IsHighValue,AvgDensityKgPerCbm,TypicalStuffFactorTeu,CommodityKey
020211,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Type III,Perishable,0,#NA,#NA,1,-18.0,0,346.8,30.0,11
020212,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Class 1,Perishable,0,#NA,#NA,1,-18.0,0,264.1,30.0,12
020213,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Class 2,Perishable,0,#NA,#NA,1,-18.0,0,313.3,30.0,13
020214,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Export Grade,Perishable,0,#NA,#NA,1,-18.0,0,340.3,30.0,14
020215,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Domestic Grade,Perishable,0,#NA,#NA,1,-18.0,0,299.4,30.0,15
020216,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Carton Pack,Perishable,0,#NA,#NA,1,-18.0,0,311.6,30.0,16
020217,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Palletized,Perishable,0,#NA,#NA,1,-18.0,0,315.4,30.0,17
020218,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Loose,Perishable,0,#NA,#NA,1,-18.0,0,338.5,30.0,18
020219,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Refined,Perishable,0,#NA,#NA,1,-18.0,0,270.1,30.0,19
020220,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Processed,Perishable,0,#NA,#NA,1,-18.0,0,303.1,30.0,20
030301,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Grade A,Perishable,0,#NA,#NA,1,-20.0,0,402.9,30.0,21
030302,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Grade B,Perishable,0,#NA,#NA,1,-20.0,0,420.5,30.0,22
030303,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Bulk,Perishable,0,#NA,#NA,1,-20.0,0,339.2,30.0,23
030304,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Retail Pack,Perishable,0,#NA,#NA,1,-20.0,0,372.2,30.0,24
030305,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Industrial Grade,Perishable,0,#NA,#NA,1,-20.0,0,306.5,30.0,25
030306,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Premium,Perishable,0,#NA,#NA,1,-20.0,0,426.3,30.0,26
030307,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Standard,Perishable,0,#NA,#NA,1,-20.0,0,440.0,30.0,27
030308,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Economy,Perishable,0,#NA,#NA,1,-20.0,0,440.8,30.0,28
030309,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Type I,Perishable,0,#NA,#NA,1,-20.0,0,354.4,30.0,29
030310,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Type II,Perishable,0,#NA,#NA,1,-20.0,0,347.8,30.0,30
030311,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Type III,Perishable,0,#NA,#NA,1,-20.0,0,327.5,30.0,31
030312,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Class 1,Perishable,0,#NA,#NA,1,-20.0,0,315.6,30.0,32
030313,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Class 2,Perishable,0,#NA,#NA,1,-20.0,0,305.7,30.0,33
030314,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Export Grade,Perishable,0,#NA,#NA,1,-20.0,0,404.4,30.0,34
030315,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Domestic Grade,Perishable,0,#NA,#NA,1,-20.0,0,406.6,30.0,35
030316,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Carton Pack,Perishable,0,#NA,#NA,1,-20.0,0,433.2,30.0,36
030317,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Palletized,Perishable,0,#NA,#NA,1,-20.0,0,390.2,30.0,37
030318,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Loose,Perishable,0,#NA,#NA,1,-20.0,0,374.7,30.0,38
030319,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Refined,Perishable,0,#NA,#NA,1,-20.0,0,407.7,30.0,39
030320,0303,03,"Fish and Crustaceans, Molluscs",Frozen Fish,Frozen Fish - Processed,Perishable,0,#NA,#NA,1,-20.0,0,395.5,30.0,40
040201,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Grade A",Perishable,0,#NA,#NA,0,,0,500.0,30.0,41
040202,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Grade B",Perishable,0,#NA,#NA,0,,0,522.1,30.0,42
040203,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Bulk",Perishable,0,#NA,#NA,0,,0,507.8,30.0,43
040204,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Retail Pack",Perishable,0,#NA,#NA,0,,0,535.7,30.0,44
040205,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Industrial Grade",Perishable,0,#NA,#NA,0,,0,588.9,30.0,45
040206,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Premium",Perishable,0,#NA,#NA,0,,0,538.7,30.0,46
040207,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Standard",Perishable,0,#NA,#NA,0,,0,512.2,30.0,47
040208,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Economy",Perishable,0,#NA,#NA,0,,0,553.1,30.0,48
040209,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Type I",Perishable,0,#NA,#NA,0,,0,577.4,30.0,49
040210,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Type II",Perishable,0,#NA,#NA,0,,0,516.4,30.0,50
040211,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Type III",Perishable,0,#NA,#NA,0,,0,577.5,30.0,51
040212,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Class 1",Perishable,0,#NA,#NA,0,,0,501.8,30.0,52
040213,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Class 2",Perishable,0,#NA,#NA,0,,0,538.9,30.0,53
040214,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Export Grade",Perishable,0,#NA,#NA,0,,0,525.3,30.0,54
040215,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Domestic Grade",Perishable,0,#NA,#NA,0,,0,574.6,30.0,55
040216,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Carton Pack",Perishable,0,#NA,#NA,0,,0,513.0,30.0,56
040217,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Palletized",Perishable,0,#NA,#NA,0,,0,577.7,30.0,57
040218,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Loose",Perishable,0,#NA,#NA,0,,0,598.9,30.0,58
040219,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Refined",Perishable,0,#NA,#NA,0,,0,561.5,30.0,59
040220,0402,04,Dairy Produce; Birds' Eggs; Natural Honey,"Milk and Cream, Concentrated or Sweetened","Milk and Cream, Concentrated or Sweetened - Processed",Perishable,0,#NA,#NA,0,,0,504.9,30.0,60
080301,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Grade A",Perishable,0,#NA,#NA,1,13.0,0,347.2,30.0,61
080302,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Grade B",Perishable,0,#NA,#NA,1,13.0,0,389.0,30.0,62
080303,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Bulk",Perishable,0,#NA,#NA,1,13.0,0,314.6,30.0,63
080304,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Retail Pack",Perishable,0,#NA,#NA,1,13.0,0,346.8,30.0,64
080305,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Industrial Grade",Perishable,0,#NA,#NA,1,13.0,0,376.1,30.0,65
080306,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Premium",Perishable,0,#NA,#NA,1,13.0,0,378.2,30.0,66
080307,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Standard",Perishable,0,#NA,#NA,1,13.0,0,332.2,30.0,67
080308,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Economy",Perishable,0,#NA,#NA,1,13.0,0,320.7,30.0,68
080309,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Type I",Perishable,0,#NA,#NA,1,13.0,0,359.2,30.0,69
080310,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Type II",Perishable,0,#NA,#NA,1,13.0,0,330.2,30.0,70
080311,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Type III",Perishable,0,#NA,#NA,1,13.0,0,382.4,30.0,71
080312,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Class 1",Perishable,0,#NA,#NA,1,13.0,0,359.3,30.0,72
080313,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Class 2",Perishable,0,#NA,#NA,1,13.0,0,366.6,30.0,73
080314,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Export Grade",Perishable,0,#NA,#NA,1,13.0,0,364.6,30.0,74
080315,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Domestic Grade",Perishable,0,#NA,#NA,1,13.0,0,347.5,30.0,75
080316,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Carton Pack",Perishable,0,#NA,#NA,1,13.0,0,363.9,30.0,76
080317,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Palletized",Perishable,0,#NA,#NA,1,13.0,0,314.5,30.0,77
080318,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Loose",Perishable,0,#NA,#NA,1,13.0,0,387.2,30.0,78
080319,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Refined",Perishable,0,#NA,#NA,1,13.0,0,338.8,30.0,79
080320,0803,08,Edible Fruit and Nuts,"Bananas, Fresh or Dried","Bananas, Fresh or Dried - Processed",Perishable,0,#NA,#NA,1,13.0,0,309.5,30.0,80
080501,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Grade A",Perishable,0,#NA,#NA,1,7.0,0,419.4,30.0,81
080502,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Grade B",Perishable,0,#NA,#NA,1,7.0,0,392.1,30.0,82
080503,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Bulk",Perishable,0,#NA,#NA,1,7.0,0,388.1,30.0,83
080504,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Retail Pack",Perishable,0,#NA,#NA,1,7.0,0,369.6,30.0,84
080505,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Industrial Grade",Perishable,0,#NA,#NA,1,7.0,0,393.4,30.0,85
080506,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Premium",Perishable,0,#NA,#NA,1,7.0,0,439.0,30.0,86
080507,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Standard",Perishable,0,#NA,#NA,1,7.0,0,394.5,30.0,87
080508,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Economy",Perishable,0,#NA,#NA,1,7.0,0,430.2,30.0,88
080509,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Type I",Perishable,0,#NA,#NA,1,7.0,0,365.3,30.0,89
080510,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Type II",Perishable,0,#NA,#NA,1,7.0,0,414.6,30.0,90
080511,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Type III",Perishable,0,#NA,#NA,1,7.0,0,362.4,30.0,91
080512,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Class 1",Perishable,0,#NA,#NA,1,7.0,0,373.2,30.0,92
080513,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Class 2",Perishable,0,#NA,#NA,1,7.0,0,432.3,30.0,93
080514,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Export Grade",Perishable,0,#NA,#NA,1,7.0,0,414.8,30.0,94
080515,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Domestic Grade",Perishable,0,#NA,#NA,1,7.0,0,396.6,30.0,95
080516,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Carton Pack",Perishable,0,#NA,#NA,1,7.0,0,431.8,30.0,96
080517,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Palletized",Perishable,0,#NA,#NA,1,7.0,0,425.0,30.0,97
080518,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Loose",Perishable,0,#NA,#NA,1,7.0,0,374.6,30.0,98
080519,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Refined",Perishable,0,#NA,#NA,1,7.0,0,439.2,30.0,99
080520,0805,08,Edible Fruit and Nuts,"Citrus Fruit, Fresh or Dried","Citrus Fruit, Fresh or Dried - Processed",Perishable,0,#NA,#NA,1,7.0,0,414.8,30.0,100
100601,1006,10,Cereals,Rice,Rice - Grade A,Raw Materials,0,#NA,#NA,0,,0,815.4,26.67,101
100602,1006,10,Cereals,Rice,Rice - Grade B,Raw Materials,0,#NA,#NA,0,,0,830.3,26.2,102
100603,1006,10,Cereals,Rice,Rice - Bulk,Raw Materials,0,#NA,#NA,0,,0,800.3,27.18,103
100604,1006,10,Cereals,Rice,Rice - Retail Pack,Raw Materials,0,#NA,#NA,0,,0,799.0,27.22,104
100605,1006,10,Cereals,Rice,Rice - Industrial Grade,Raw Materials,0,#NA,#NA,0,,0,752.4,28.91,105
100606,1006,10,Cereals,Rice,Rice - Premium,Raw Materials,0,#NA,#NA,0,,0,764.3,28.46,106
100607,1006,10,Cereals,Rice,Rice - Standard,Raw Materials,0,#NA,#NA,0,,0,821.5,26.48,107
100608,1006,10,Cereals,Rice,Rice - Economy,Raw Materials,0,#NA,#NA,0,,0,802.9,27.09,108
100609,1006,10,Cereals,Rice,Rice - Type I,Raw Materials,0,#NA,#NA,0,,0,771.9,28.18,109
100610,1006,10,Cereals,Rice,Rice - Type II,Raw Materials,0,#NA,#NA,0,,0,830.5,26.19,110
100611,1006,10,Cereals,Rice,Rice - Type III,Raw Materials,0,#NA,#NA,0,,0,826.6,26.31,111
100612,1006,10,Cereals,Rice,Rice - Class 1,Raw Materials,0,#NA,#NA,0,,0,752.6,28.9,112
100613,1006,10,Cereals,Rice,Rice - Class 2,Raw Materials,0,#NA,#NA,0,,0,786.5,27.65,113
100614,1006,10,Cereals,Rice,Rice - Export Grade,Raw Materials,0,#NA,#NA,0,,0,767.5,28.34,114
100615,1006,10,Cereals,Rice,Rice - Domestic Grade,Raw Materials,0,#NA,#NA,0,,0,780.4,27.87,115
100616,1006,10,Cereals,Rice,Rice - Carton Pack,Raw Materials,0,#NA,#NA,0,,0,789.4,27.55,116
100617,1006,10,Cereals,Rice,Rice - Palletized,Raw Materials,0,#NA,#NA,0,,0,752.9,28.89,117
100618,1006,10,Cereals,Rice,Rice - Loose,Raw Materials,0,#NA,#NA,0,,0,786.6,27.65,118
100619,1006,10,Cereals,Rice,Rice - Refined,Raw Materials,0,#NA,#NA,0,,0,770.0,28.25,119
100620,1006,10,Cereals,Rice,Rice - Processed,Raw Materials,0,#NA,#NA,0,,0,757.3,28.72,120
151101,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Grade A,Chemical,0,#NA,#NA,0,,0,909.0,23.93,121
151102,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Grade B,Chemical,0,#NA,#NA,0,,0,900.8,24.15,122
151103,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Bulk,Chemical,0,#NA,#NA,0,,0,913.5,23.81,123
151104,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Retail Pack,Chemical,0,#NA,#NA,0,,0,908.1,23.95,124
151105,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Industrial Grade,Chemical,0,#NA,#NA,0,,0,905.4,24.02,125
151106,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Premium,Chemical,0,#NA,#NA,0,,0,904.1,24.06,126
151107,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Standard,Chemical,0,#NA,#NA,0,,0,909.3,23.92,127
151108,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Economy,Chemical,0,#NA,#NA,0,,0,913.6,23.81,128
151109,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Type I,Chemical,0,#NA,#NA,0,,0,919.1,23.66,129
151110,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Type II,Chemical,0,#NA,#NA,0,,0,909.2,23.92,130
151111,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Type III,Chemical,0,#NA,#NA,0,,0,900.7,24.15,131
151112,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Class 1,Chemical,0,#NA,#NA,0,,0,909.5,23.91,132
151113,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Class 2,Chemical,0,#NA,#NA,0,,0,911.5,23.86,133
151114,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Export Grade,Chemical,0,#NA,#NA,0,,0,910.9,23.88,134
151115,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Domestic Grade,Chemical,0,#NA,#NA,0,,0,909.7,23.91,135
151116,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Carton Pack,Chemical,0,#NA,#NA,0,,0,914.6,23.78,136
151117,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Palletized,Chemical,0,#NA,#NA,0,,0,902.0,24.11,137
151118,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Loose,Chemical,0,#NA,#NA,0,,0,917.0,23.72,138
151119,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Refined,Chemical,0,#NA,#NA,0,,0,910.0,23.9,139
151120,1511,15,Animal or Vegetable Fats and Oils,Palm Oil and Its Fractions,Palm Oil and Its Fractions - Processed,Chemical,0,#NA,#NA,0,,0,906.8,23.98,140
170101,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Grade A,Consumer Goods,0,#NA,#NA,0,,0,840.0,25.89,141
170102,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Grade B,Consumer Goods,0,#NA,#NA,0,,0,807.8,26.93,142
170103,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Bulk,Consumer Goods,0,#NA,#NA,0,,0,842.3,25.82,143
170104,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Retail Pack,Consumer Goods,0,#NA,#NA,0,,0,830.4,26.19,144
170105,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Industrial Grade,Consumer Goods,0,#NA,#NA,0,,0,845.6,25.72,145
170106,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Premium,Consumer Goods,0,#NA,#NA,0,,0,816.6,26.64,146
170107,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Standard,Consumer Goods,0,#NA,#NA,0,,0,849.1,25.61,147
170108,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Economy,Consumer Goods,0,#NA,#NA,0,,0,816.8,26.63,148
170109,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Type I,Consumer Goods,0,#NA,#NA,0,,0,826.1,26.33,149
170110,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Type II,Consumer Goods,0,#NA,#NA,0,,0,847.1,25.68,150
170111,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Type III,Consumer Goods,0,#NA,#NA,0,,0,845.2,25.73,151
170112,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Class 1,Consumer Goods,0,#NA,#NA,0,,0,817.6,26.6,152
170113,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Class 2,Consumer Goods,0,#NA,#NA,0,,0,812.9,26.76,153
170114,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Export Grade,Consumer Goods,0,#NA,#NA,0,,0,809.4,26.87,154
170115,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Domestic Grade,Consumer Goods,0,#NA,#NA,0,,0,841.8,25.84,155
170116,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Carton Pack,Consumer Goods,0,#NA,#NA,0,,0,830.7,26.18,156
170117,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Palletized,Consumer Goods,0,#NA,#NA,0,,0,830.2,26.2,157
170118,1701,17,Sugars and Sugar Confectionery,Cane or Beet Sugar,Cane or Beet Sugar - Loose,Consumer Goods,0,#NA,#NA,0,,0,806.7,26.96,158
