IsoSizeTypeCode,EquipmentTypeCode,EquipmentTypeName,LengthFt,HeightFt,TeuFactor,FfeFactor,MaxPayloadKg,TareWeightKg,InternalCbm,IsReefer,IsTank,IsOpenTop,IsFlatRack,IsSpecialEquipment,OwnershipType,FreeDaysDemurrage,FreeDaysDetention,DailyDemurrageTier1Usd,DailyDemurrageTier2Usd,DailyDemurrageTier3Usd,DailyDetentionTier1Usd,DailyDetentionTier2Usd,DailyDetentionTier3Usd,EquipmentKey
45G1,40HC,40ft High Cube Dry Van,40,"9'6""",2.0,1.0,26271,3855,75.1,0,0,0,0,0,Leased Long-Term,5,5,97.5,195.0,390.0,78.0,156.0,312.0,16
45G1,40HC,40ft High Cube Dry Van,40,"9'6""",2.0,1.0,26363,3868,75.4,0,0,0,0,0,Leased Short-Term,5,5,97.5,195.0,390.0,78.0,156.0,312.0,17
45G1,40HC,40ft High Cube Dry Van,40,"9'6""",2.0,1.0,26721,3921,76.4,0,0,0,0,0,Shipper-Owned,5,5,97.5,195.0,390.0,78.0,156.0,312.0,18
L5G1,45HC,45ft High Cube Dry Van,45,"9'6""",2.25,1.125,29973,4877,87.4,0,0,0,0,0,Owned,5,5,112.5,225.0,450.0,90.0,180.0,360.0,19
L5G1,45HC,45ft High Cube Dry Van,45,"9'6""",2.25,1.125,29414,4786,85.7,0,0,0,0,0,Owned,5,5,112.5,225.0,450.0,90.0,180.0,360.0,20
L5G1,45HC,45ft High Cube Dry Van,45,"9'6""",2.25,1.125,29940,4872,87.3,0,0,0,0,0,Leased Long-Term,5,5,112.5,225.0,450.0,90.0,180.0,360.0,21
L5G1,45HC,45ft High Cube Dry Van,45,"9'6""",2.25,1.125,30009,4883,87.5,0,0,0,0,0,Leased Long-Term,5,5,112.5,225.0,450.0,90.0,180.0,360.0,22
L5G1,45HC,45ft High Cube Dry Van,45,"9'6""",2.25,1.125,29177,4747,85.1,0,0,0,0,0,Leased Short-Term,5,5,112.5,225.0,450.0,90.0,180.0,360.0,23
L5G1,45HC,45ft High Cube Dry Van,45,"9'6""",2.25,1.125,29337,4774,85.5,0,0,0,0,0,Shipper-Owned,5,5,112.5,225.0,450.0,90.0,180.0,360.0,24
22R1,20RF,20ft Reefer,20,"8'6""",1.0,0.5,27880,3134,28.8,1,0,0,0,0,Owned,3,3,150.0,300.0,600.0,120.0,240.0,480.0,25
22R1,20RF,20ft Reefer,20,"8'6""",1.0,0.5,27311,3070,28.2,1,0,0,0,0,Owned,3,3,150.0,300.0,600.0,120.0,240.0,480.0,26
22R1,20RF,20ft Reefer,20,"8'6""",1.0,0.5,27798,3125,28.7,1,0,0,0,0,Leased Long-Term,3,3,150.0,300.0,600.0,120.0,240.0,480.0,27
22R1,20RF,20ft Reefer,20,"8'6""",1.0,0.5,26982,3033,27.9,1,0,0,0,0,Leased Long-Term,3,3,150.0,300.0,600.0,120.0,240.0,480.0,28
22R1,20RF,20ft Reefer,20,"8'6""",1.0,0.5,27442,3085,28.3,1,0,0,0,0,Leased Short-Term,3,3,150.0,300.0,600.0,120.0,240.0,480.0,29
22R1,20RF,20ft Reefer,20,"8'6""",1.0,0.5,27456,3086,28.4,1,0,0,0,0,Shipper-Owned,3,3,150.0,300.0,600.0,120.0,240.0,480.0,30
45R1,40RH,40ft High Cube Reefer,40,"9'6""",2.0,1.0,29508,4884,60.3,1,0,0,0,0,Owned,3,3,195.0,390.0,780.0,156.0,312.0,624.0,31
45R1,40RH,40ft High Cube Reefer,40,"9'6""",2.0,1.0,28626,4738,58.5,1,0,0,0,0,Owned,3,3,195.0,390.0,780.0,156.0,312.0,624.0,32
45R1,40RH,40ft High Cube Reefer,40,"9'6""",2.0,1.0,29384,4864,60.1,1,0,0,0,0,Leased Long-Term,3,3,195.0,390.0,780.0,156.0,312.0,624.0,33
45R1,40RH,40ft High Cube Reefer,40,"9'6""",2.0,1.0,29423,4870,60.2,1,0,0,0,0,Leased Long-Term,3,3,195.0,390.0,780.0,156.0,312.0,624.0,34
45R1,40RH,40ft High Cube Reefer,40,"9'6""",2.0,1.0,29041,4807,59.4,1,0,0,0,0,Leased Short-Term,3,3,195.0,390.0,780.0,156.0,312.0,624.0,35
45R1,40RH,40ft High Cube Reefer,40,"9'6""",2.0,1.0,28497,4717,58.3,1,0,0,0,0,Shipper-Owned,3,3,195.0,390.0,780.0,156.0,312.0,624.0,36
22T1,20TK,20ft Tank Container,20,"8'6""",1.0,0.5,26069,3910,24.1,0,1,0,0,1,Owned,4,4,100.0,200.0,400.0,80.0,160.0,320.0,37
22T1,20TK,20ft Tank Container,20,"8'6""",1.0,0.5,26255,3938,24.2,0,1,0,0,1,Owned,4,4,100.0,200.0,400.0,80.0,160.0,320.0,38
22T1,20TK,20ft Tank Container,20,"8'6""",1.0,0.5,25995,3899,24.0,0,1,0,0,1,Leased Long-Term,4,4,100.0,200.0,400.0,80.0,160.0,320.0,39
22T1,20TK,20ft Tank Container,20,"8'6""",1.0,0.5,26507,3976,24.5,0,1,0,0,1,Leased Long-Term,4,4,100.0,200.0,400.0,80.0,160.0,320.0,40
22T1,20TK,20ft Tank Container,20,"8'6""",1.0,0.5,25832,3875,23.8,0,1,0,0,1,Leased Short-Term,4,4,100.0,200.0,400.0,80.0,160.0,320.0,41
22T1,20TK,20ft Tank Container,20,"8'6""",1.0,0.5,26353,3953,24.3,0,1,0,0,1,Shipper-Owned,4,4,100.0,200.0,400.0,80.0,160.0,320.0,42
42U1,40OT,40ft Open Top,40,"8'6""",2.0,1.0,26611,3916,67.3,0,0,1,0,1,Owned,4,4,130.0,260.0,520.0,104.0,208.0,416.0,43
42U1,40OT,40ft Open Top,40,"8'6""",2.0,1.0,25994,3825,65.7,0,0,1,0,1,Owned,4,4,130.0,260.0,520.0,104.0,208.0,416.0,44
42U1,40OT,40ft Open Top,40,"8'6""",2.0,1.0,26209,3857,66.3,0,0,1,0,1,Leased Long-Term,4,4,130.0,260.0,520.0,104.0,208.0,416.0,45
42U1,40OT,40ft Open Top,40,"8'6""",2.0,1.0,26300,3871,66.5,0,0,1,0,1,Leased Long-Term,4,4,130.0,260.0,520.0,104.0,208.0,416.0,46
42U1,40OT,40ft Open Top,40,"8'6""",2.0,1.0,26969,3969,68.2,0,0,1,0,1,Leased Short-Term,4,4,130.0,260.0,520.0,104.0,208.0,416.0,47
42U1,40OT,40ft Open Top,40,"8'6""",2.0,1.0,26819,3947,67.8,0,0,1,0,1,Shipper-Owned,4,4,130.0,260.0,520.0,104.0,208.0,416.0,48
42P1,40FR,40ft Flat Rack,40,"8'6""",2.0,1.0,40387,5654,0.0,0,0,0,1,1,Owned,4,4,130.0,260.0,520.0,104.0,208.0,416.0,49
42P1,40FR,40ft Flat Rack,40,"8'6""",2.0,1.0,39949,5593,0.0,0,0,0,1,1,Owned,4,4,130.0,260.0,520.0,104.0,208.0,416.0,50
42P1,40FR,40ft Flat Rack,40,"8'6""",2.0,1.0,39489,5528,0.0,0,0,0,1,1,Leased Long-Term,4,4,130.0,260.0,520.0,104.0,208.0,416.0,51
42P1,40FR,40ft Flat Rack,40,"8'6""",2.0,1.0,39720,5561,0.0,0,0,0,1,1,Leased Long-Term,4,4,130.0,260.0,520.0,104.0,208.0,416.0,52
42P1,40FR,40ft Flat Rack,40,"8'6""",2.0,1.0,40021,5603,0.0,0,0,0,1,1,Leased Short-Term,4,4,130.0,260.0,520.0,104.0,208.0,416.0,53
42P1,40FR,40ft Flat Rack,40,"8'6""",2.0,1.0,39334,5507,0.0,0,0,0,1,1,Shipper-Owned,4,4,130.0,260.0,520.0,104.0,208.0,416.0,54
22P1,20FR,20ft Flat Rack,20,"8'6""",1.0,0.5,27632,2665,0.0,0,0,0,1,1,Owned,4,4,100.0,200.0,400.0,80.0,160.0,320.0,55
22P1,20FR,20ft Flat Rack,20,"8'6""",1.0,0.5,28211,2720,0.0,0,0,0,1,1,Owned,4,4,100.0,200.0,400.0,80.0,160.0,320.0,56
22P1,20FR,20ft Flat Rack,20,"8'6""",1.0,0.5,28245,2724,0.0,0,0,0,1,1,Leased Long-Term,4,4,100.0,200.0,400.0,80.0,160.0,320.0,57
22P1,20FR,20ft Flat Rack,20,"8'6""",1.0,0.5,28129,2712,0.0,0,0,0,1,1,Leased Long-Term,4,4,100.0,200.0,400.0,80.0,160.0,320.0,58
22P1,20FR,20ft Flat Rack,20,"8'6""",1.0,0.5,27719,2673,0.0,0,0,0,1,1,Leased Short-Term,4,4,100.0,200.0,400.0,80.0,160.0,320.0,59
