SkuCode,SkuDescription,CustomerCode,CommodityKey,ProductCategory,ProductSubCategory,UnitOfMeasure,UnitsPerCarton,CartonsPerPallet,UnitWeightKg,UnitVolumeCbm,UnitCostUsd,UnitPriceUsd,AbcClassStatic,IsHazardous,RequiresColdChain,ShelfLifeDays,StorageType,IsActive,SkuKey
000051,"Bananas, Fresh or Dried - Carton Pack - Retail Unit",CUS0831,76,Perishable,"Bananas, Fresh or Dried",EA,45,61,4.3189,0.01389,154.74,255.2,B,0,1,155,Chilled,1,51
000052,"Bananas, Fresh or Dried - Retail Pack - Retail Unit",CUS1025,64,Perishable,"Bananas, Fresh or Dried",EA,24,69,0.1797,0.00051,4.96,6.84,C,0,1,242,Chilled,1,52
000053,"Milk and Cream, Concentrated or Sweetened - Standard - Retail Unit",CUS0827,47,Perishable,"Milk and Cream, Concentrated or Sweetened",CTN,37,27,20.9196,0.0436,596.02,1321.41,C,0,0,,Ambient,1,53
000054,Automatic Data Processing Machines - Industrial Grade - Retail Unit,CUS1985,665,Industrial,Automatic Data Processing Machines,EA,34,79,1.1013,0.00686,123.62,232.17,C,0,0,,Ambient,1,54
000055,"New Pneumatic Tyres, of Rubber - Loose - Retail Unit",CUS1347,478,Industrial,"New Pneumatic Tyres, of Rubber",EA,8,70,4.7009,0.0269,88.53,216.72,C,0,0,,Bulk,1,55
000056,Uncoated Paper and Paperboard - Bulk - Retail Unit,CUS0129,503,Industrial,Uncoated Paper and Paperboard,KG,26,77,3.6712,0.01259,113.24,142.54,C,0,0,,Ambient,1,56
000057,"New Pneumatic Tyres, of Rubber - Grade B - Retail Unit",CUS0697,462,Industrial,"New Pneumatic Tyres, of Rubber",CTN,6,48,7.6167,0.02978,112.56,273.19,B,0,0,,Ambient,1,57
000058,"Fireworks, Signalling Flares - Type III - Retail Unit",CUS1429,391,Industrial,"Fireworks, Signalling Flares",CTN,42,80,12.1232,0.01264,369.85,454.82,C,1,0,,Hazmat,1,58
000059,Wine of Fresh Grapes - Domestic Grade - Retail Unit,CUS1434,195,Consumer Goods,Wine of Fresh Grapes,EA,28,40,15.8499,0.01915,421.74,766.08,B,0,0,,Ambient,1,59
000060,Parts and Accessories of Motor Vehicles - Retail Pack - Retail Unit,CUS2151,784,Automotive,Parts and Accessories of Motor Vehicles,EA,47,66,3.3069,0.00853,47.74,63.51,C,0,0,,Ambient,1,60
000061,"Medicaments, Mixed or Unmixed - Grade B - Retail Unit",CUS0310,302,Chemical,"Medicaments, Mixed or Unmixed",EA,1,40,19.043,0.04414,4407.54,7605.93,B,0,1,712,Chilled,1,61
000062,"Bananas, Fresh or Dried - Premium - Retail Unit",CUS1856,66,Perishable,"Bananas, Fresh or Dried",EA,31,49,5.2208,0.01602,186.2,269.04,C,0,1,716,Frozen,1,62
000063,Electric Accumulators (Batteries) - Grade A - Retail Unit,CUS2226,741,Industrial,Electric Accumulators (Batteries),EA,36,35,13.5601,0.03231,1762.44,2254.05,C,0,0,,Ambient,1,63
000064,Medical Instruments and Appliances - Loose - Retail Unit,CUS0347,858,Industrial,Medical Instruments and Appliances,EA,45,27,10.7734,0.03459,2401.8,5591.16,B,0,0,,Ambient,1,64
000065,Automatic Data Processing Machines - Refined - Retail Unit,CUS2104,679,Industrial,Automatic Data Processing Machines,EA,38,54,6.4644,0.03124,1132.04,2546.35,B,0,0,,Ambient,1,65
000066,Beer Made from Malt - Type III - Retail Unit,CUS0493,211,Consumer Goods,Beer Made from Malt,CTN,28,29,17.8333,0.01708,488.86,756.15,B,0,0,,Ambient,1,66
000067,"Parts of Balloons, Aircraft or Spacecraft - Palletized - Retail Unit",CUS2326,817,Project Cargo,"Parts of Balloons, Aircraft or Spacecraft",EA,12,48,0.2073,0.00083,19.23,28.5,C,0,0,,Ambient,0,67
000068,Uncoated Paper and Paperboard - Carton Pack - Retail Unit,CUS2999,516,Industrial,Uncoated Paper and Paperboard,CTN,13,54,10.0964,0.02429,258.08,356.83,C,0,0,,Bulk,1,68
000069,Beer Made from Malt - Class 2 - Retail Unit,CUS0310,213,Consumer Goods,Beer Made from Malt,LTR,22,62,4.9903,0.00448,153.17,373.33,C,0,0,,Ambient,1,69
000070,Uncoated Paper and Paperboard - Carton Pack - Retail Unit,CUS2819,516,Industrial,Uncoated Paper and Paperboard,LTR,20,69,14.0235,0.03133,464.46,646.99,C,0,0,,Ambient,1,70
000071,"Telephone Sets, Smartphones - Refined - Retail Unit",CUS2020,719,Consumer Goods,"Telephone Sets, Smartphones",CTN,33,70,3.1402,0.01607,77.02,95.97,C,0,0,,Ambient,1,71
000072,Monitors and Projectors - Processed - Retail Unit,CUS1150,740,Consumer Goods,Monitors and Projectors,EA,9,74,4.5101,0.03789,135.57,287.54,B,0,0,,Ambient,1,72
000073,Other Furniture and Parts Thereof - Domestic Grade - Retail Unit,CUS2031,875,Consumer Goods,Other Furniture and Parts Thereof,CTN,45,38,6.254,0.03482,64.83,134.67,C,0,0,,Ambient,1,73
000074,Frozen Bovine Meat - Premium - Retail Unit,CUS1471,6,Perishable,Frozen Bovine Meat,PAL,17,30,2.2487,0.00691,50.38,109.52,B,0,1,415,Chilled,1,74
000075,"Petroleum Oils, Refined - Processed - Retail Unit",CUS2484,240,Chemical,"Petroleum Oils, Refined",EA,11,50,34.1371,0.04637,318.26,389.84,B,1,0,,Hazmat,1,75
000076,"Tricycles, Toys, Reduced-Size Models - Loose - Retail Unit",CUS0811,898,Consumer Goods,"Tricycles, Toys, Reduced-Size Models",CTN,6,31,3.6576,0.03087,144.36,300.04,C,0,0,,Ambient,1,76
000077,Cane or Beet Sugar - Type II - Retail Unit,CUS3096,150,Consumer Goods,Cane or Beet Sugar,KG,41,47,26.8912,0.03729,339.75,790.42,B,0,0,,Ambient,0,77
000078,Perfumes and Toilet Waters - Type II - Retail Unit,CUS1000,350,Consumer Goods,Perfumes and Toilet Waters,KG,16,67,21.3072,0.02986,3051.2,6135.58,B,1,0,,Hazmat,1,78
000079,Perfumes and Toilet Waters - Retail Pack - Retail Unit,CUS0499,344,Consumer Goods,Perfumes and Toilet Waters,EA,3,71,24.2593,0.03783,5760.47,7021.57,C,1,0,,Hazmat,1,79
000080,Other Floating Structures - Economy - Retail Unit,CUS3166,828,Project Cargo,Other Floating Structures,LTR,8,59,15.3928,0.02491,590.12,1076.19,B,0,0,,Ambient,1,80
000081,Perfumes and Toilet Waters - Bulk - Retail Unit,CUS1190,343,Consumer Goods,Perfumes and Toilet Waters,EA,35,45,0.829,0.0014,143.85,170.31,C,0,0,,Ambient,1,81
000082,"Telephone Sets, Smartphones - Domestic Grade - Retail Unit",CUS0069,715,Consumer Goods,"Telephone Sets, Smartphones",EA,18,49,8.099,0.04937,274.85,334.5,B,0,0,,Ambient,1,82
000083,Palm Oil and Its Fractions - Economy - Retail Unit,CUS1851,128,Chemical,Palm Oil and Its Fractions,EA,11,39,3.2295,0.00407,98.73,210.44,C,0,0,,Ambient,1,83
000084,"Insecticides, Pesticides, Disinfectants - Bulk - Retail Unit",CUS1036,403,Chemical,"Insecticides, Pesticides, Disinfectants",EA,24,72,21.4292,0.02138,524.74,646.42,C,1,0,,Hazmat,1,84
000085,"Hydrogen, Rare Gases and Other Non-Metals - Domestic Grade - Retail Unit",CUS2443,275,Chemical,"Hydrogen, Rare Gases and Other Non-Metals",PAL,41,68,3.0889,0.04415,78.87,135.79,C,1,0,,Hazmat,1,85
000086,"T-Shirts, Singlets, Knitted - Bulk - Retail Unit",CUS3026,523,Consumer Goods,"T-Shirts, Singlets, Knitted",LTR,12,44,4.5291,0.04141,84.55,126.79,C,0,0,,Ambient,1,86
000087,Cane or Beet Sugar - Standard - Retail Unit,CUS0609,147,Consumer Goods,Cane or Beet Sugar,KG,42,59,31.7294,0.03384,727.42,935.6,C,0,0,,Ambient,1,87
000088,"Medicaments, Mixed or Unmixed - Standard - Retail Unit",CUS1563,307,Chemical,"Medicaments, Mixed or Unmixed",EA,42,54,8.0895,0.01445,1208.7,2773.3,C,0,1,474,Frozen,1,88
000089,"Medicaments, Mixed or Unmixed - Domestic Grade - Retail Unit",CUS1908,315,Chemical,"Medicaments, Mixed or Unmixed",CTN,1,44,3.5313,0.00775,387.83,875.78,B,0,1,,Chilled,1,89
000090,"Taps, Cocks, Valves and Similar Appliances - Type II - Retail Unit",CUS0373,690,Industrial,"Taps, Cocks, Valves and Similar Appliances",KG,26,23,11.2309,0.03088,173.07,283.17,B,0,0,,Ambient,1,90
000091,Cane or Beet Sugar - Industrial Grade - Retail Unit,CUS2305,145,Consumer Goods,Cane or Beet Sugar,EA,37,60,21.3807,0.02367,472.17,583.41,B,0,0,,Ambient,1,91
000092,"Milk and Cream, Concentrated or Sweetened - Class 1 - Retail Unit",CUS1462,52,Perishable,"Milk and Cream, Concentrated or Sweetened",EA,9,70,11.9784,0.02544,368.68,773.23,B,0,0,,Ambient,1,92
000093,Other Articles of Plastics - Premium - Retail Unit,CUS1465,446,Industrial,Other Articles of Plastics,LTR,31,73,4.152,0.01352,119.49,185.66,C,0,0,,Ambient,1,93
000094,Wine of Fresh Grapes - Grade A - Retail Unit,CUS2338,181,Consumer Goods,Wine of Fresh Grapes,KG,34,55,0.6824,0.00075,11.66,19.68,C,0,0,,Ambient,1,94
000095,"Ethers, Alcohols, Peroxides - Carton Pack - Retail Unit",CUS0734,296,Chemical,"Ethers, Alcohols, Peroxides",PAL,3,79,20.345,0.0302,86.49,112.53,C,1,0,,Hazmat,1,95
000096,Motor Cars and Other Motor Vehicles - Export Grade - Retail Unit,CUS1935,774,Automotive,Motor Cars and Other Motor Vehicles,PAL,43,29,2.1977,0.00662,353.53,632.23,C,0,0,,Ambient,1,96
000097,"Tricycles, Toys, Reduced-Size Models - Type III - Retail Unit",CUS0880,891,Consumer Goods,"Tricycles, Toys, Reduced-Size Models",CTN,29,71,6.5058,0.04862,46.0,105.1,C,0,0,,Ambient,1,97
000098,"Insecticides, Pesticides, Disinfectants - Refined - Retail Unit",CUS0448,419,Chemical,"Insecticides, Pesticides, Disinfectants",EA,47,43,16.4548,0.02184,438.91,589.8,C,1,0,,Hazmat,1,98
000099,Palm Oil and Its Fractions - Palletized - Retail Unit,CUS0264,137,Chemical,Palm Oil and Its Fractions,CTN,9,22,15.4087,0.01951,188.34,226.38,A,0,0,,Ambient,1,99
000100,"New Pneumatic Tyres, of Rubber - Class 2 - Retail Unit",CUS2793,473,Industrial,"New Pneumatic Tyres, of Rubber",KG,22,76,8.7542,0.03741,113.67,134.82,B,0,0,,Ambient,1,100
000101,Beer Made from Malt - Class 1 - Retail Unit,CUS0357,212,Consumer Goods,Beer Made from Malt,CTN,13,68,48.4206,0.0481,1828.6,2957.2,C,0,0,,Ambient,1,101
000102,Frozen Bovine Meat - Palletized - Retail Unit,CUS2569,17,Perishable,Frozen Bovine Meat,CTN,1,40,3.7896,0.01188,105.79,246.95,C,0,1,542,Frozen,1,102
000103,"Parts of Balloons, Aircraft or Spacecraft - Retail Pack - Retail Unit",CUS2693,804,Project Cargo,"Parts of Balloons, Aircraft or Spacecraft",EA,47,32,7.5947,0.04056,499.59,582.85,C,0,0,,Ambient,1,103
000104,"Citrus Fruit, Fresh or Dried - Refined - Retail Unit",CUS0347,99,Perishable,"Citrus Fruit, Fresh or Dried",CTN,19,61,20.3119,0.0426,177.93,429.02,B,0,1,108,Chilled,1,104
000105,"Citrus Fruit, Fresh or Dried - Refined - Retail Unit",CUS0457,99,Perishable,"Citrus Fruit, Fresh or Dried",EA,28,32,2.0884,0.00478,10.51,18.37,C,0,1,,Frozen,1,105
000106,Automatic Data Processing Machines - Class 1 - Retail Unit,CUS0580,672,Industrial,Automatic Data Processing Machines,CTN,15,80,1.2628,0.00419,126.34,167.96,A,0,0,,Ambient,1,106
000107,Palm Oil and Its Fractions - Grade A - Retail Unit,CUS1069,121,Chemical,Palm Oil and Its Fractions,KG,31,51,18.524,0.02311,199.31,377.54,C,0,0,,Ambient,1,107
000108,Other Articles of Plastics - Class 2 - Retail Unit,CUS1716,453,Industrial,Other Articles of Plastics,EA,48,33,1.6622,0.0056,54.55,87.47,C,0,0,,Ambient,1,108
000109,"Insecticides, Pesticides, Disinfectants - Processed - Retail Unit",CUS3053,420,Chemical,"Insecticides, Pesticides, Disinfectants",EA,4,63,31.2202,0.03545,553.05,771.33,C,1,0,,Hazmat,1,109
000110,"Hydrogen, Rare Gases and Other Non-Metals - Premium - Retail Unit",CUS0021,266,Chemical,"Hydrogen, Rare Gases and Other Non-Metals",LTR,27,78,1.753,0.01713,33.46,40.27,C,1,0,,Hazmat,1,110
000111,"Insecticides, Pesticides, Disinfectants - Type I - Retail Unit",CUS2982,409,Chemical,"Insecticides, Pesticides, Disinfectants",CTN,6,77,21.3797,0.03044,168.89,211.42,C,1,0,,Hazmat,1,111
000112,"Tricycles, Toys, Reduced-Size Models - Retail Pack - Retail Unit",CUS0185,884,Consumer Goods,"Tricycles, Toys, Reduced-Size Models",EA,30,38,5.5403,0.03947,214.22,355.0,C,0,0,,Ambient,1,112
000113,Frozen Fish - Type III - Retail Unit,CUS2876,31,Perishable,Frozen Fish,CTN,6,52,8.2655,0.0253,178.59,218.44,A,0,1,55,Chilled,1,113
000114,Other Floating Structures - Class 2 - Retail Unit,CUS0243,833,Project Cargo,Other Floating Structures,EA,5,78,13.1843,0.01935,418.4,595.76,C,0,0,,Ambient,0,114
000115,Soap and Organic Surface-Active Products - Class 1 - Retail Unit,CUS2020,372,Consumer Goods,Soap and Organic Surface-Active Products,EA,21,26,16.7745,0.02588,655.08,896.94,C,0,0,,Ambient,1,115
000116,Soap and Organic Surface-Active Products - Bulk - Retail Unit,CUS2892,363,Consumer Goods,Soap and Organic Surface-Active Products,LTR,40,68,0.9221,0.00158,7.42,16.04,C,0,0,,Bulk,1,116
000117,"New Pneumatic Tyres, of Rubber - Processed - Retail Unit",CUS2376,480,Industrial,"New Pneumatic Tyres, of Rubber",EA,5,61,4.0023,0.02387,150.35,266.83,C,0,0,,Ambient,0,117
000118,Perfumes and Toilet Waters - Type I - Retail Unit,CUS2757,349,Consumer Goods,Perfumes and Toilet Waters,EA,16,23,15.7936,0.02575,1514.44,3675.95,C,0,0,,Bulk,1,118
000119,Perfumes and Toilet Waters - Domestic Grade - Retail Unit,CUS1460,355,Consumer Goods,Perfumes and Toilet Waters,KG,7,71,30.2548,0.03989,5847.17,12286.09,C,1,0,,Hazmat,1,119
000120,"Citrus Fruit, Fresh or Dried - Economy - Retail Unit",CUS2739,88,Perishable,"Citrus Fruit, Fresh or Dried",EA,31,33,12.7221,0.02637,473.16,593.15,C,0,1,307,Chilled,1,120
000121,"Polymers of Ethylene, in Primary Forms - Export Grade - Retail Unit",CUS2122,434,Industrial,"Polymers of Ethylene, in Primary Forms",EA,23,30,4.4481,0.00774,18.19,34.88,A,0,0,,Ambient,1,121
000122,"T-Shirts, Singlets, Knitted - Grade A - Retail Unit",CUS2819,521,Consumer Goods,"T-Shirts, Singlets, Knitted",PAL,3,35,3.4423,0.02881,71.83,141.16,A,0,0,,Ambient,1,122
000123,Frozen Fish - Standard - Retail Unit,CUS2281,27,Perishable,Frozen Fish,EA,2,79,18.2211,0.04008,355.79,688.4,C,0,1,281,Chilled,1,123
000124,Beer Made from Malt - Domestic Grade - Retail Unit,CUS2781,215,Consumer Goods,Beer Made from Malt,EA,30,74,23.8876,0.02294,410.0,654.33,C,0,0,,Ambient,1,124
000125,Other Furniture and Parts Thereof - Refined - Retail Unit,CUS1847,879,Consumer Goods,Other Furniture and Parts Thereof,EA,13,40,3.4539,0.02342,137.68,197.97,B,0,0,,Ambient,1,125
000126,Other Articles of Plastics - Bulk - Retail Unit,CUS1455,443,Industrial,Other Articles of Plastics,KG,12,62,3.1761,0.01123,73.62,109.01,C,0,0,,Ambient,1,126
000127,Other Furniture and Parts Thereof - Grade B - Retail Unit,CUS1142,862,Consumer Goods,Other Furniture and Parts Thereof,KG,7,25,10.5161,0.03512,146.07,298.7,B,0,0,,Bulk,1,127
000128,"Fireworks, Signalling Flares - Export Grade - Retail Unit",CUS0065,394,Industrial,"Fireworks, Signalling Flares",KG,26,38,13.3432,0.01791,184.84,342.97,C,1,0,,Hazmat,1,128
000129,"Bananas, Fresh or Dried - Type I - Retail Unit",CUS3089,69,Perishable,"Bananas, Fresh or Dried",EA,7,73,7.1538,0.01913,32.31,44.61,C,0,1,71,Frozen,1,129
000130,Other Floating Structures - Carton Pack - Retail Unit,CUS2720,836,Project Cargo,Other Floating Structures,CTN,42,27,4.313,0.00643,27.41,36.75,A,0,0,,Bulk,1,130
000131,"Citrus Fruit, Fresh or Dried - Premium - Retail Unit",CUS2108,86,Perishable,"Citrus Fruit, Fresh or Dried",EA,8,74,11.4283,0.02623,390.4,969.58,A,0,1,144,Frozen,1,131
000132,Medical Instruments and Appliances - Type II - Retail Unit,CUS0294,850,Industrial,Medical Instruments and Appliances,EA,42,40,3.4461,0.01347,769.32,1178.04,C,0,0,,Ambient,1,132
